id,name,address,latitude,longitude,is_active,fuel_types,poi_types,food_types
5819,Gulf + • Afrika,"Tbilisi, Kindzmarauli Str. #32",41.6659328996659,44.9133219903347,1,"Euro Regular, G-Force Euro Diesel, G-Force Premium",Shop,Coffee
5841,Gulf + • Ponichala,"Tbilisi, Rustavi Highway #18/22",41.6530199999952,44.904757819553,1,"Euro Regular, G-Force Euro Diesel, G-Force Premium",Shop,Coffee
5920,Akhalcikhe,"Akhaltsikhe Municipality, Akhaltsikhe City, Mikheil Tamarashvili Street, #62",41.646655981619,43.0012435700615,1,"Euro Diesel, Euro Regular, G-Force Euro Diesel, G-Force Euro Regular, G-Force Premium, G-Force Super",Shop,"Coffee, Hot Dog, Sandwich"
5867,Batumi mcdonalds,"Batumi, Zurab Gorgiladze Str. #90",41.6434639661312,41.6190978161623,1,"Euro Diesel, Euro Regular, G-Force Euro Diesel, G-Force Euro Regular, G-Force Premium",Shop,"Coffee, Hot Dog, Sandwich"
5849,Gulf + • Akhalcikhe,"Akhaltsikhe, Rustaveli Str. #97",41.6393021473397,43.0160707265024,1,"Euro Diesel, Euro Regular, G-Force Euro Diesel, G-Force Premium",Shop,"Coffee, Hot Dog, Sandwich"
5916,Sagarejo satave,"Gurjaani district, village Kachreti",41.6380319829947,45.6791714542742,1,"Euro Diesel, Euro Regular, G-Force Euro Diesel, G-Force Euro Regular, G-Force Premium",Shop,"Coffee, Hot Dog, Sandwich"
5787,Sagarejo satave,"Gurjaani district, village Kachreti",41.6380319829947,45.6791714542742,1,"Euro Diesel, Euro Regular, G-Force Euro Diesel, G-Force Euro Regular, G-Force Premium","Gas Station, Shop","Coffee, Hot Dog, Sandwich"
5909,Kachreti,"Gurjaani district, village Kachreti",41.6380319821882,45.6791070871663,1,"Euro Diesel, Euro Regular, G-Force Euro Diesel, G-Force Euro Regular, G-Force Premium",Shop,"Coffee, Hot Dog, Sandwich"
5868,Lermontovi 2,"Batumi, Lermontovi Str. #86",41.6358959304288,41.6299514701176,1,"Euro Diesel, Euro Regular, G-Force Euro Diesel, G-Force Euro Regular, G-Force Premium",Shop,"Coffee, Hot Dog, Sandwich"
5865,batumi bagrationi,"Batumi, Bagrationi #198",41.6321599999977,41.6170914604218,1,"Euro Diesel, Euro Regular, G-Force Euro Diesel, G-Force Euro Regular, G-Force Premium, G-Force Super",Shop,"Coffee, Hot Dog, Sandwich"
5812,Gulf + • Niazi,"Batumi, Leonidze Str. #9",41.6266760881858,41.6257507193537,1,"Euro Regular, G-Force Euro Diesel, G-Force Premium",Shop,"Coffee, Hot Dog, Sandwich"
5838,Gulf + • Kumisi,"Gardabani, Kumisi",41.6180960541136,44.7939014142169,1,"Euro Regular, G-Force Euro Diesel, G-Force Premium",Shop,"Coffee, Hot Dog"
5866,batumi aeroporti,"Batumi, Airport Highway #175",41.6109641415749,41.6133092764372,1,"Euro Diesel, Euro Regular, G-Force Euro Diesel, G-Force Euro Regular, G-Force Premium",Shop,"Coffee, Hot Dog, Sandwich"
5852,Adlia,"Batumi, Airport Highway, #304",41.5983220850403,41.598708547546,1,"Euro Diesel, Euro Regular, G-Force Euro Diesel, G-Force Euro Regular, G-Force Premium","Service Center, Shop","Coffee, Hot Dog, Sandwich"
5853,Gonio 2,"Batumi, Apsarosi str. #47a",41.5804982569215,41.5778700000003,1,"Euro Diesel, Euro Regular, G-Force Euro Diesel, G-Force Euro Regular, G-Force Premium",Shop,"Coffee, Hot Dog, Sandwich"
5919,koda,"Tetritskaro district, village Koda",41.5740419784719,44.7745350576344,1,"Euro Diesel, Euro Regular, G-Force Euro Diesel, G-Force Euro Regular, G-Force Premium, G-Force Super",Shop,"Coffee, Hot Dog, Sandwich"
5844,Gulf + • Aspindza,"Aspindza, Vardzia Str. #44, Akhaltsikhe, Ninotsminda highway 31 km",41.5738282931377,43.2475707293615,1,"Euro Diesel, Euro Regular, G-Force Euro Diesel, G-Force Premium",Shop,Coffee
5809,Gulf + • Erge,"Khelvachauri, Vilage Erge",41.5666762346471,41.6878143121547,1,"Euro Regular, G-Force Euro Diesel, G-Force Premium",Shop,Coffee
5842,Gulf + • Rustavi Kalaki,"Rustavi, VII Block, #3 Prof.Collage",41.5647162680578,44.9743307220866,1,"Euro Diesel, Euro Regular, G-Force Euro Diesel, G-Force Premium",Shop,"Coffee, Hot Dog"
5914,Rustavi shartava,"Rustavi Shartava, Shartava/Meskhishvili",41.5631120672501,44.9789499999997,1,"Euro Diesel, Euro Regular, G-Force Euro Diesel, G-Force Euro Regular, G-Force Premium, G-Force Super",Shop,"Coffee, Hot Dog, Sandwich"
5802,Rustavi shartava,"Rustavi Shartava, Shartava/Meskhishvili",41.5631120672501,44.9789499999997,1,"Euro Diesel, Euro Regular, G-Force Euro Diesel, G-Force Euro Regular, G-Force Premium, G-Force Super","Gas Station, Shop","Coffee, Hot Dog, Sandwich"
5803,"Rustavi Shartava, Shartava/Meskhishvili","Rustavi Shartava, Shartava/Meskhishvili",41.563068991575,44.978979554404,1,"Euro Diesel, Euro Regular, G-Force Euro Diesel, G-Force Euro Regular, G-Force Premium, G-Force Super","Gas Station, Shop",Coffee
5913,Rustavi grandi,"Rustavi, Megrobroba ave. #32",41.5612160577524,44.97896146049,1,"Euro Diesel, Euro Regular, G-Force Euro Diesel, G-Force Euro Regular, G-Force Premium",Shop,"Coffee, Hot Dog, Sandwich"
5915,Rustavi mshenebelta,"Rustavi, Mshnebelata Street, adjacent area of the forest park",41.5447398449747,45.0035678009289,1,"Euro Diesel, Euro Regular, G-Force Euro Diesel, G-Force Euro Regular, G-Force Premium",Shop,"Coffee, Hot Dog, Sandwich"
5912,Marneuli kalaki,"Marneuli, 26 May Str.",41.4933799999992,44.8025592720859,1,"Euro Diesel, Euro Regular, G-Force Euro Diesel, G-Force Euro Regular, G-Force Premium","Service Center, Shop","Coffee, Hot Dog, Sandwich"
5911,Marneuli sadakhlo,"Marneuli district, 3rd km of the Sadakhlo Armenian border road",41.4598499999953,44.8096978307472,1,"Euro Diesel, Euro Regular, G-Force Euro Diesel, G-Force Euro Regular, G-Force Premium",Shop,"Coffee, Hot Dog, Sandwich"
