id,name,address,region,district,latitude,longitude,fuel_types,services,payments
28,Saburtalo,Tbilisi Saburtalo district / Saburtalo street 18,Tbilisi,Tbilisi,41.72165,44.76486,"Nano Premium, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular","Service Center, WC","Cash, Bank card, Coupon, Fuel card, Energy card, Fast payment machine"
29,Sanapiro 1,"Tbilisi, on the right bank of the Mtkvari River, between the gas station Giochi and the territory purchased by Kedar LLC;  Tbilisi Mtkvri river right bank slope N 9",Tbilisi,Tbilisi,41.72664,44.77981,"CNG, Nano Premium, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular","Way-Mart, Service Block, WC, Locker","Cash, Bank card, Coupon, Fuel card, Energy card"
30,Sanapiro 2,Tbilisi Gldani-Nadzaladevi / Ksni street near Didubi Bridge,Tbilisi,Tbilisi,41.75448,44.77981,"CNG, Nano Premium, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular",WC,"Cash, Bank card, Coupon, Fuel card, Energy card"
31,Sanapiro 3,"Tbilisi, Rustavi highway, near the factory of electric vending machine",Tbilisi,Tbilisi,41.669172,44.856064,"Nano Super, Nano Premium, Nano Euro Regular, Nano Euro 5 Diesel, Euro 5 Diesel","Charger, McDonald's, Greenway, WC, Way-Mart","Cash, Bank card, Coupon, Fuel card, Energy card"
32,Stepanwminda,Kazbegi district / Stepantsminda township,Kazbegi,Kazbegi,42.65058,44.6407,"Nano Premium, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular","Way-Mart, WC, AS24","Cash, Bank card, Fuel card, Energy card"
33,Fortuna,"Tbilisi, Davit Agmashenebeli alley N168",Tbilisi,Tbilisi,41.782891,44.768769,"Nano Premium, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular","Service Block, WC","Cash, Coupon, Energy card"
34,Kavtaradze,"Tbilisi, Petre Kavtaradze Street N54 N 19 N 52",Tbilisi,Tbilisi,41.72057,44.724213,"Nano Premium, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular","WC, Car Wash","Cash, Bank card, Coupon, Fuel card, Energy card"
35,Kerchi,Tbilisi Nadzaladevi / Kerchi street,Tbilisi,Tbilisi,41.78886,44.80233,"Nano Premium, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular","Way-Mart, Locker","Cash, Bank card, Coupon, Fuel card, Energy card"
36,Sheshelidze 1,Tbilisi Gldani district / Sarajishvili street,Tbilisi,Tbilisi,41.78493,44.79866,"CNG, LPG, Nano Premium, Nano Super, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular","Way-Mart, WC, Service Block","Cash, Bank card, Coupon, Fuel card, Energy card, Fast payment machine"
37,Sheshelidze 2,Tbilisi Gldani district / T. Sheshelidze 34,Tbilisi,Tbilisi,41.78724,44.80283,"Nano Premium, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular","Way-Mart, WC","Cash, Bank card, Coupon, Fuel card, Energy card, Fast payment machine"
38,Bolnisi,City of Bolnisi,Kvemo Kartli,Bolnisi,41.451182,44.580298,"Nano Premium, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular",Way-Mart,"Cash, Bank card, Coupon, Fuel card, Energy card, Fast payment machine"
39,Gardabani,"Gardbani, Agmashenebeli Street Near Tbilsre square nearby",Kvemo Kartli,Gardabani,41.472308,45.08149,"LPG, Nano Premium, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular","Way-Mart, Car Wash","Cash, Bank card, Coupon, Fuel card, Energy card"
40,Dmanisi,,Kvemo Kartli,Dmanisi,41.334336,44.212231,"LPG, Nano Premium, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular",Way-Mart,"Cash, Bank card, Coupon, Fuel card, Energy card"
41,Teleti,"Gardabani, Tsalaskuri village",Kvemo Kartli,Tsalaskuri,41.632884,44.816683,"Nano Premium, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular",Way-Mart,"Cash, Bank card, Coupon, Fuel card, Energy card, Fast payment machine"
43,Marneuli,"Marneuli Street, Rustaveli",Kvemo Kartli,Marneuli,41.487687,44.79946,"Nano Euro Regular, Euro 5 Diesel, Nano Premium, Nano Euro 5 Diesel","Service Block, Service Center, Way-Mart","Cash, Bank card, Coupon, Fuel card, Energy card, Fast payment machine"
44,Marneuli2,Marneuli village Kizilajlo,Kvemo Kartli,Kizilajlo,41.478918,44.774256,CNG,,"Cash, Bank card, Coupon, Fuel card, Energy card"
45,Martkopi,"Gardabani, Martkopi village",Kvemo Kartli,Martkopi,41.682765,45.021852,"CNG, Nano Premium, Nano Super, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular","Charger, TIR Park","Cash, Bank card, Coupon, Fuel card, Energy card, Fast payment machine"
46,Rustavi 1,"Rustavi, micro/district XVI surrounding area",Kvemo Kartli,Rustavi,41.569684,44.987228,"Nano Premium, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular",Way-Mart,"Cash, Bank card, Fuel card, Energy card, Fast payment machine"
47,Rusavi-Komplex,"Tbilisi, Red Bridge highway 19th",Kvemo Kartli,Rustavi,41.580554,44.954523,"CNG, LPG, Nano Premium, Nano Super, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular","Way-Mart, Service Block, TIR Park, Charger","Cash, Bank card, Coupon, Fuel card, Energy card, Fast payment machine"
48,Rustavi Center,Rustavi Shartava Avenue,Kvemo Kartli,Rustavi,41.564018,44.976375,"CNG, Nano Premium, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular",Service Center,"Cash, Bank card, Coupon, Fuel card, Energy card"
49,Sadakhlo,"Sadakhlo, Marneuli district",Kvemo Kartli,Sadakhlo,41.250168,44.799618,"Nano Premium, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular",Way-Mart,"Cash, Bank card, Coupon, Fuel card, Energy card"
50,Fakhralo,"Savaneti village, Bolnisi district",Kvemo Kartli,Parkhalo,41.422851,44.664909,"LPG, Euro 5 Diesel, Nano Euro Regular",,"Cash, Bank card, Coupon, Fuel card, Energy card"
51,Shulaveri,"Marneuli, lower Sarali",Kvemo Kartli,Shulaveri,41.362845,44.837185,"CNG, LPG, Nano Premium, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular",Way-Mart,"Cash, Bank card, Coupon, Fuel card, Energy card"
52,Akhmeta,"Akhmeta, Rustaveli street ",Kakheti,Kakheti,42.03943,45.20516,"LPG, Nano Premium, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular","Way-Mart, WC","Cash, Bank card, Coupon, Fuel card, Energy card, Fast payment machine"
53,Gombori,"Telavi, village Vardisubani",Kakheti,telavi,41.92574,45.452532,"Nano Premium, Nano Super, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular","WC, Way-Mart, Service Block, Charger","Cash, Bank card, Coupon, Fuel card, Energy card, Fast payment machine"
55,Dedofliswkaro,Rustaveli N1,Kakheti,D.Tskharo,41.4654,46.100405,"Nano Premium, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular","Way-Mart, WC","Cash, Bank card, Coupon, Fuel card, Energy card"
56,Vardisubani,Vardisubani,Kakheti,telavi,41.93598,45.43529,"LPG, Nano Premium, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular","WC, Way-Mart","Cash, Bank card, Coupon, Fuel card, Energy card"
57,Vachnadziani,"Gurjaani, Village Vachnadziani",Kakheti,Gurjaani,41.851866,45.655626,"LPG, Nano Premium, Nano Super, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular",WC,"Cash, Bank card, Fuel card, Energy card"
58,Telavi,"Telavi, Agmasheneblei 15a",Kakheti,telavi,41.921035,45.483399,"Nano Premium, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular","Way-Mart, Service Center, WC","Cash, Bank card, Coupon, Fuel card"
59,Iormuganlo,"Sagarejo, village iormugalo ",Kakheti,Sagarejo,41.599778,45.533279,"Euro 5 Diesel, Nano Euro Regular",WC,"Cash, Bank card, Coupon, Fuel card, Energy card"
60,Kabali,"Lagodekhi, village Dona",Kakheti,Lagodekhi,41.839042,46.108823,"Nano Premium, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular","WC, Way-Mart","Cash, Bank card, Coupon, Energy card"
61,Sagarejo,"Sagarejo, Kakheti Highway N14",Kakheti,Sagarejo,41.72295,45.3436,"CNG, LPG, Nano Premium, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular","Way-Mart, Car Wash, WC","Cash, Bank card, Coupon, Fuel card, Energy card"
62,Kvareli,Kvareli,Kakheti,Kvareli,41.923827,45.824537,"LPG, Nano Premium, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular",WC,"Cash, Bank card, Coupon, Fuel card, Energy card"
63,Chalaubani,"Gurjaani, Village Chalaubani",Kakheti,Gurjaani,41.628062,45.810149,"CNG, LPG, Nano Premium, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular","WC, Way-Mart, Service Block","Cash, Bank card, Coupon, Fuel card, Energy card"
64,Wnori,"Signagi, village Sakobo",Kakheti,Signagi,41.623698,45.972772,"Nano Premium, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular",WC,"Cash, Bank card, Coupon, Fuel card, Energy card, Fast payment machine"
65,Agara,"Kareli, Daba Agara, area around the market",Shida Kartli,Agara,42.05168,43.8505,"Nano Premium, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular","Way-Mart, WC","Cash, Bank card, Coupon, Fuel card"
67,Akhaltsikhe,"Akhaltsikhe, Abastumani Highway",Samtskhe-Javakheti,Akhaltsikhe,41.641478,42.980864,"Nano Premium, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular","Service Center, Service Center, AS24","Cash, Bank card, Coupon, Fuel card, Energy card"
68,Bakuriani,"Borjomi, Daba Bakuriani, Borjomi N55",Samtskhe-Javakheti,Bakuriani,41.757572,43.522476,"Nano Premium, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular","Way-Mart, WC","Cash, Bank card, Coupon, Fuel card, Energy card"
